FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
29540	1	254063.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29541	1	254070.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29542	1	254077.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29543	1	254084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29544	1	254090.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29545	1	254097.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29546	1	254107.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29547	1	254112.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29548	1	254119.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29549	1	254126.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29550	1	254133.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29551	1	254140.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
