FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
52943	134	641026.7	0.9466279	637.3434	-0.8279421	0.2097529	2.246132	-0.3563347	-0.07406308	0.9314184	-0.332539	-0.1001848	0.9377531	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52944	134	641039.2	0.9466279	637.3434	-0.8279421	0.2097529	2.246132	-0.3563347	-0.07406308	0.9314184	-0.332539	-0.1001848	0.9377531	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52945	134	641049.8	0.8447009	637.3685	-0.8961927	0.2275281	2.42722	-0.3559144	-0.07267068	0.9316887	-0.3339637	-0.1022227	0.9370266	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52946	134	641061.7	0.8447009	637.3685	-0.8961927	0.2275281	2.42722	-0.3559144	-0.07267068	0.9316887	-0.3339637	-0.1022227	0.9370266	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52947	134	641072.4	0.9713013	637.3979	-0.8218365	0.2094262	2.236258	-0.3554706	-0.07345572	0.9317966	-0.3315617	-0.1013445	0.9379745	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52948	134	641083	0.9713013	637.3979	-0.8218365	0.2094262	2.236258	-0.3554706	-0.07345572	0.9317966	-0.3315617	-0.1013445	0.9379745	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52949	134	641095.4	0.9713013	637.3979	-0.8218365	0.2094262	2.236258	-0.3554706	-0.07345572	0.9317966	-0.3315617	-0.1013445	0.9379745	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52950	134	641106.3	0.8509853	637.4232	-0.8508572	0.2181235	2.311706	-0.3555048	-0.07341538	0.9317867	-0.3324135	-0.1026714	0.9375286	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52951	134	641119.8	0.8509853	637.4232	-0.8508572	0.2181235	2.311706	-0.3555048	-0.07341538	0.9317867	-0.3324135	-0.1026714	0.9375286	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52952	134	641129.7	0.8300408	637.4567	-0.8444928	0.2176636	2.294369	-0.3555857	-0.07405937	0.9317049	-0.3323149	-0.1029756	0.9375302	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52953	134	641140	0.8300408	637.4567	-0.8444928	0.2176636	2.294369	-0.3555857	-0.07405937	0.9317049	-0.3323149	-0.1029756	0.9375302	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52954	134	641152.5	0.8300408	637.4567	-0.8444928	0.2176636	2.294369	-0.3555857	-0.07405937	0.9317049	-0.3323149	-0.1029756	0.9375302	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52955	134	641162.6	0.9156799	637.4819	-0.8704064	0.2281121	2.379633	-0.3532632	-0.07465563	0.9325404	-0.3307959	-0.1043601	0.9379142	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52956	134	641174.7	0.9156799	637.4819	-0.8704064	0.2281121	2.379633	-0.3532632	-0.07465563	0.9325404	-0.3307959	-0.1043601	0.9379142	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52957	134	641184.8	0.8607811	637.5071	-0.8967043	0.2336283	2.448604	-0.3532967	-0.0730245	0.9326569	-0.3315049	-0.1051415	0.9375765	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52958	134	641196.6	0.8607811	637.5071	-0.8967043	0.2336283	2.448604	-0.3532967	-0.0730245	0.9326569	-0.3315049	-0.1051415	0.9375765	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52959	134	641208.3	0.7735111	637.5239	-0.8969954	0.2328023	2.451459	-0.3530482	-0.07272981	0.932774	-0.3312725	-0.104623	0.9377167	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52960	134	641217.9	0.9514952	637.5366	-0.9345052	0.2444517	2.554218	-0.3525683	-0.07405731	0.9328511	-0.3316689	-0.1046846	0.9375697	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52961	134	641230.8	0.9514952	637.5366	-0.9345052	0.2444517	2.554218	-0.3525683	-0.07405731	0.9328511	-0.3316689	-0.1046846	0.9375697	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
